Make,Fuel,EngineCylinders,AverageHighwayMPG,AverageCityMPG,1
Acura,Gasoline,4,35,25,2
Acura,Gasoline,6,28,21,3
Alfa Romeo,Gasoline,4,33,24,4
Alfa Romeo,Gasoline,6,24,17,5
Aston Martin,Gasoline,12,19,12,6
Audi,Gasoline,4,30,23,7
Audi,Gasoline,6,27,19,8
Audi,Gasoline,8,26,17,9
Audi,Gasoline,10,22,14,10
Audi,Gasoline,4,32,24,11
Bentley,Gasoline,8,22,13,12
Bentley,Gasoline,12,20,12,13
BMW,Diesel,4,41,30,14
BMW,Diesel,6,29,23,15
BMW,Electricity,0,109,133,16
BMW,Gasoline,2,33,36,17
BMW,Gasoline,3,29,28,18
BMW,Gasoline,4,32,23,19
BMW,Gasoline,6,28,19,20
BMW,Gasoline,8,23,15,21
BMW,Gasoline,12,20,13,22
Buick,Gasoline,4,27,20,23
Buick,Gasoline,4,31,23,24
Buick,Gasoline,6,26,18,25
Cadillac,Gasoline,4,30,22,26
Cadillac,Gasoline,6,25,17,27
Cadillac,Gasoline,8,21,14,28
Cadillac,Gasoline,4,32,22,29
Cadillac,Gasoline,6,26,18,30
Cadillac,Gasoline,8,21,15,31
Chevrolet,Diesel,4,29,21,32
Chevrolet,Electricity,0,110,128,33
Chevrolet,Gasoline,4,31,21,34
Chevrolet,Gasoline,8,23,15,35
Chevrolet,Gasoline,4,34,27,36
Chevrolet,Gasoline,6,24,17,37
Chevrolet,Gasoline,8,21,15,38
Chrysler,Gasoline,8,25,16,39
Chrysler,Gasoline,4,36,23,40
Chrysler,Gasoline,6,29,20,41
Dodge,Gasoline,8,24,15,42
Dodge,Gasoline,8,23,14,43
Dodge,Gasoline,10,19,12,44
Dodge,Gasoline,4,25,19,45
Dodge,Gasoline,6,27,18,46
Ferrari,Gasoline,8,22,16,47
Ferrari,Gasoline,12,16,12,48
Fiat,Electricity,0,103,121,49
Fiat,Gasoline,4,34,26,50
Fiat,Gasoline,4,30,22,51
Ford,Electricity,0,96,118,52
Ford,Gasoline,4,25,19,53
Ford,Gasoline,6,18,11,54
Ford,Gasoline,8,21,14,55
Ford,Gasoline,3,40,29,56
Ford,Gasoline,4,31,24,57
Ford,Gasoline,6,23,17,58
Ford,Gasoline,8,22,15,59
Genesis,Gasoline,6,24,17,60
Genesis,Gasoline,8,23,15,61
Genesis,Gasoline,6,27,17,62
GMC,Diesel,4,29,21,63
GMC,Gasoline,4,27,20,64
GMC,Gasoline,6,23,17,65
GMC,Gasoline,8,21,15,66
Honda,Gasoline,4,38,30,67
Honda,Gasoline,4,37,29,68
Honda,Gasoline,6,28,19,69
Hyundai,Electricity,0,122,150,70
Hyundai,Gasoline,4,34,27,71
Hyundai,Gasoline,6,25,18,72
Infiniti,Gasoline,4,30,22,73
Infiniti,Gasoline,6,27,20,74
Infiniti,Gasoline,8,22,15,75
Infiniti,Gasoline,4,27,25,76
Jaguar,Diesel,4,39,30,77
Jaguar,Gasoline,4,30,21,78
Jaguar,Gasoline,6,26,18,79
Jaguar,Gasoline,8,23,15,80
Jeep,Gasoline,6,27,19,81
Jeep,Gasoline,8,22,14,82
Jeep,Gasoline,4,31,24,83
Jeep,Gasoline,8,19,13,84
Jeep,Gasoline,4,27,21,85
Jeep,Gasoline,6,22,17,86
Kia,Electricity,0,92,120,87
Kia,Gasoline,8,23,15,88
Kia,Gasoline,4,33,27,89
Kia,Gasoline,6,25,18,90
Lamborghini,Gasoline,10,21,14,91
Lamborghini,Gasoline,12,17,10,92
Land Rover,Diesel,6,28,22,93
Land Rover,Gasoline,4,27,20,94
Land Rover,Gasoline,6,23,17,95
Land Rover,Gasoline,8,19,14,96
Lexus,Gasoline,4,30,22,97
Lexus,Gasoline,6,28,21,98
Lexus,Gasoline,8,22,16,99
Lexus,Gasoline,4,36,39,100
Lexus,Gasoline,6,28,20,101
Lincoln,Gasoline,4,29,23,102
Lincoln,Gasoline,6,24,16,103
Lotus,Gasoline,6,24,17,104
Maserati,Gasoline,6,24,16,105
Maserati,Gasoline,8,20,14,106
Mazda,Gasoline,4,34,26,107
Mazda,Gasoline,4,35,27,108
McLaren Automotive,Gasoline,8,23,16,109
Mercedes-Benz,Electricity,0,82,85,110
Mercedes-Benz,Gasoline,4,30,23,111
Mercedes-Benz,Gasoline,6,25,19,112
Mercedes-Benz,Gasoline,8,22,16,113
Mercedes-Benz,Gasoline,12,20,13,114
MINI,Gasoline,4,33,24,115
Mitsubishi,Electricity,0,102,121,116
Mitsubishi,Gasoline,6,27,20,117
Mitsubishi,Gasoline,3,42,35,118
Mitsubishi,Gasoline,4,31,24,119
Nissan,Electricity,0,101,124,120
Nissan,Gasoline,4,31,26,121
Nissan,Gasoline,6,26,18,122
Nissan,Gasoline,4,33,26,123
Nissan,Gasoline,6,25,18,124
Nissan,Gasoline,8,20,14,125
Porsche,Gasoline,4,27,21,126
Porsche,Gasoline,6,26,19,127
Porsche,Gasoline,8,21,14,128
Ram,Gasoline,8,21,14,129
Ram,Gasoline,4,28,21,130
Ram,Gasoline,6,24,17,131
Rolls-Royce,Gasoline,12,19,12,132
Roush Performance,Gasoline,8,23,14,133
smart,Gasoline,3,39,32,134
Subaru,Gasoline,4,27,21,135
Subaru,Gasoline,4,33,25,136
Subaru,Gasoline,6,28,20,137
Tesla,Electricity,0,98,92,138
Toyota,Gasoline,4,30,23,139
Toyota,Gasoline,4,35,32,140
Toyota,Gasoline,6,25,20,141
Toyota,Gasoline,8,18,13,142
Volkswagen,Gasoline,4,28,21,143
Volkswagen,Gasoline,4,33,24,144
Volkswagen,Gasoline,6,25,18,145
Volvo,Gasoline,4,29,22,146
Volvo,Gasoline,4,32,23,147
